SrNo,Parameter,Unit,Month,Year,Value,Data Source,Latitude,Longitude
318,Colour,Hazen,Dec,2018,,CPCB,30.6762491,76.7282489
319,Boron(B),mg/l,Dec,2018,,CPCB,30.6762491,76.7282489
320,TKN,mg/l,Dec,2018,,CPCB,30.6762491,76.7282489
321,Potassium,mg/l,Dec,2018,,CPCB,30.6762491,76.7282489
322,Sodium,mg/l,Dec,2018,,CPCB,30.6762491,76.7282489
323,Total Coliform,MPN/100ml,Dec,2018,2.7E+6,CPCB,30.6762491,76.7282489
324,Faecal Coliform,MPN/100ml,Dec,2018,1.4E+5,CPCB,30.6762491,76.7282489
325,BOD,mg/l,April,2020,55.0,CPCB,30.6762491,76.7282489
326,TSS,mg/l,April,2020,28.0,CPCB,30.6762491,76.7282489
327,Faecal Coliform,MPN/100ml,April,2020,0.0,CPCB,30.6762491,76.7282489
328,BOD,mg/l,May,2020,14.0,CPCB,30.6762491,76.7282489
329,TSS,mg/l,May,2020,6.0,CPCB,30.6762491,76.7282489
330,Faecal Coliform,MPN/100ml,May,2020,3.3E+5,CPCB,30.6762491,76.7282489
331,BOD,mg/l,June,2020,12.0,CPCB,30.6762491,76.7282489
332,TSS,mg/l,June,2020,14.0,CPCB,30.6762491,76.7282489
333,Faecal Coliform,MPN/100ml,June,2020,0.0,CPCB,30.6762491,76.7282489
