SrNo,Parameter,Unit,Month,Year,Value,Data Source,Latitude,Longitude
122,Ca as CaCO3,mg/l,May,2018,,CPCB,30.6921376,76.7361159
123,Mg as CaCO3,mg/l,May,2018,,CPCB,30.6921376,76.7361159
124,Sulphate,mg/l,May,2018,,CPCB,30.6921376,76.7361159
125,Chloride,mg/l,May,2018,,CPCB,30.6921376,76.7361159
126,Total alkalinity as CaCO3,mg/l,May,2018,,CPCB,30.6921376,76.7361159
127,P-Alkalinity,mg/l,May,2018,,CPCB,30.6921376,76.7361159
128,Fluoride,mg/l,May,2018,,CPCB,30.6921376,76.7361159
129,Colour,Hazen,May,2018,,CPCB,30.6921376,76.7361159
130,Boron(B),mg/l,May,2018,,CPCB,30.6921376,76.7361159
131,TKN,mg/l,May,2018,,CPCB,30.6921376,76.7361159
132,Potassium,mg/l,May,2018,,CPCB,30.6921376,76.7361159
133,Sodium,mg/l,May,2018,,CPCB,30.6921376,76.7361159
134,Total Coliform,MPN/100ml,May,2018,1.1E+4,CPCB,30.6921376,76.7361159
135,Faecal Coliform,MPN/100ml,May,2018,4500.0,CPCB,30.6921376,76.7361159
136,pH,-,June,2018,7.3,CPCB,30.6921376,76.7361159
137,Conductivity,µs/cm,June,2018,,CPCB,30.6921376,76.7361159
138,DO,mg/l,June,2018,4.4,CPCB,30.6921376,76.7361159
139,COD,mg/l,June,2018,34.0,CPCB,30.6921376,76.7361159
140,BOD,mg/l,June,2018,11.0,CPCB,30.6921376,76.7361159
141,NO3-N,mg/l,June,2018,,CPCB,30.6921376,76.7361159
142,NH3-N,mg/l,June,2018,3.0,CPCB,30.6921376,76.7361159
143,Phosphate,mg/l,June,2018,,CPCB,30.6921376,76.7361159
144,TSS,mg/l,June,2018,35.0,CPCB,30.6921376,76.7361159
145,TDS,mg/l,June,2018,,CPCB,30.6921376,76.7361159
146,FS,mg/l,June,2018,,CPCB,30.6921376,76.7361159
147,Turbidity,NTU,June,2018,,CPCB,30.6921376,76.7361159
148,TH as CaCO3,mg/l,June,2018,,CPCB,30.6921376,76.7361159
149,Ca as CaCO3,mg/l,June,2018,,CPCB,30.6921376,76.7361159
150,Mg as CaCO3,mg/l,June,2018,,CPCB,30.6921376,76.7361159
151,Sulphate,mg/l,June,2018,,CPCB,30.6921376,76.7361159
152,Chloride,mg/l,June,2018,,CPCB,30.6921376,76.7361159
153,Total alkalinity as CaCO3,mg/l,June,2018,,CPCB,30.6921376,76.7361159
154,P-Alkalinity,mg/l,June,2018,,CPCB,30.6921376,76.7361159
155,Fluoride,mg/l,June,2018,,CPCB,30.6921376,76.7361159
156,Colour,Hazen,June,2018,,CPCB,30.6921376,76.7361159
157,Boron(B),mg/l,June,2018,,CPCB,30.6921376,76.7361159
158,TKN,mg/l,June,2018,,CPCB,30.6921376,76.7361159
159,Potassium,mg/l,June,2018,,CPCB,30.6921376,76.7361159
160,Sodium,mg/l,June,2018,,CPCB,30.6921376,76.7361159
161,Total Coliform,MPN/100ml,June,2018,1100.0,CPCB,30.6921376,76.7361159
162,Faecal Coliform,MPN/100ml,June,2018,690.0,CPCB,30.6921376,76.7361159
163,pH,-,July,2018,7.5,CPCB,30.6921376,76.7361159
164,Conductivity,µs/cm,July,2018,,CPCB,30.6921376,76.7361159
165,DO,mg/l,July,2018,5.4,CPCB,30.6921376,76.7361159
166,COD,mg/l,July,2018,73.0,CPCB,30.6921376,76.7361159
167,BOD,mg/l,July,2018,25.0,CPCB,30.6921376,76.7361159
