SrNo,Parameter,Unit,Month,Value,Data Source,Year,Location,Latitude,Longitude
117,TSS,mg/l,May,105,CPCB 2018,2018,Sector 83,30.658143,76.724407
118,TDS,mg/l,May,297,CPCB 2018,2018,Sector 83,30.658143,76.724407
119,FS,mg/l,May,310,CPCB 2018,2018,Sector 83,30.658143,76.724407
120,Turbidity,NTU,May,109,CPCB 2018,2018,Sector 83,30.658143,76.724407
121,TH as CaCO3,mg/l,May,220,CPCB 2018,2018,Sector 83,30.658143,76.724407
122,Ca as CaCO3,mg/l,May,124,CPCB 2018,2018,Sector 83,30.658143,76.724407
123,Mg as CaCO3,mg/l,May,96,CPCB 2018,2018,Sector 83,30.658143,76.724407
124,Sulphate,mg/l,May,52,CPCB 2018,2018,Sector 83,30.658143,76.724407
125,Chloride,mg/l,May,48,CPCB 2018,2018,Sector 83,30.658143,76.724407
126,Total alkalinity as CaCO3,mg/l,May,254,CPCB 2018,2018,Sector 83,30.658143,76.724407
127,P-Alkalinity,mg/l,May,,CPCB 2018,2018,Sector 83,30.658143,76.724407
128,Fluoride,mg/l,May,,CPCB 2018,2018,Sector 83,30.658143,76.724407
129,Colour,Hazen,May,20,CPCB 2018,2018,Sector 83,30.658143,76.724407
130,Boron(B),mg/l,May,0.14,CPCB 2018,2018,Sector 83,30.658143,76.724407
131,TKN,mg/l,May,3.9,CPCB 2018,2018,Sector 83,30.658143,76.724407
132,Potassium,mg/l,May,8,CPCB 2018,2018,Sector 83,30.658143,76.724407
133,Sodium,mg/l,May,24,CPCB 2018,2018,Sector 83,30.658143,76.724407
134,Total Coliform,MPN/100ml,May,,CPCB 2018,2018,Sector 83,30.658143,76.724407
135,Faecal Coliform,MPN/100ml,May,,CPCB 2018,2018,Sector 83,30.658143,76.724407
136,pH,-,June,6.9,CPCB 2018,2018,Sector 83,30.658143,76.724407
137,Conductivity,µs/cm,June,638,CPCB 2018,2018,Sector 83,30.658143,76.724407
138,DO,mg/l,June,,CPCB 2018,2018,Sector 83,30.658143,76.724407
139,COD,mg/l,June,141,CPCB 2018,2018,Sector 83,30.658143,76.724407
140,BOD,mg/l,June,65,CPCB 2018,2018,Sector 83,30.658143,76.724407
141,NO3-N,mg/l,June,2.2,CPCB 2018,2018,Sector 83,30.658143,76.724407
142,NH3-N,mg/l,June,18,CPCB 2018,2018,Sector 83,30.658143,76.724407
143,Phosphate,mg/l,June,1.83,CPCB 2018,2018,Sector 83,30.658143,76.724407
144,TSS,mg/l,June,82,CPCB 2018,2018,Sector 83,30.658143,76.724407
145,TDS,mg/l,June,317,CPCB 2018,2018,Sector 83,30.658143,76.724407
146,FS,mg/l,June,271,CPCB 2018,2018,Sector 83,30.658143,76.724407
147,Turbidity,NTU,June,95,CPCB 2018,2018,Sector 83,30.658143,76.724407
148,TH as CaCO3,mg/l,June,194,CPCB 2018,2018,Sector 83,30.658143,76.724407
149,Ca as CaCO3,mg/l,June,116,CPCB 2018,2018,Sector 83,30.658143,76.724407
150,Mg as CaCO3,mg/l,June,78,CPCB 2018,2018,Sector 83,30.658143,76.724407
151,Sulphate,mg/l,June,51,CPCB 2018,2018,Sector 83,30.658143,76.724407
152,Chloride,mg/l,June,46,CPCB 2018,2018,Sector 83,30.658143,76.724407
153,Total alkalinity as CaCO3,mg/l,June,246,CPCB 2018,2018,Sector 83,30.658143,76.724407
154,P-Alkalinity,mg/l,June,,CPCB 2018,2018,Sector 83,30.658143,76.724407
155,Fluoride,mg/l,June,,CPCB 2018,2018,Sector 83,30.658143,76.724407
156,Colour,Hazen,June,20,CPCB 2018,2018,Sector 83,30.658143,76.724407
157,Boron(B),mg/l,June,,CPCB 2018,2018,Sector 83,30.658143,76.724407
158,TKN,mg/l,June,4.3,CPCB 2018,2018,Sector 83,30.658143,76.724407
159,Potassium,mg/l,June,9,CPCB 2018,2018,Sector 83,30.658143,76.724407
160,Sodium,mg/l,June,38,CPCB 2018,2018,Sector 83,30.658143,76.724407
161,Total Coliform,MPN/100ml,June,,CPCB 2018,2018,Sector 83,30.658143,76.724407
162,Faecal Coliform,MPN/100ml,June,,CPCB 2018,2018,Sector 83,30.658143,76.724407
163,pH,-,July,7.1,CPCB 2018,2018,Sector 83,30.658143,76.724407
164,Conductivity,µs/cm,July,616,CPCB 2018,2018,Sector 83,30.658143,76.724407
165,DO,mg/l,July,,CPCB 2018,2018,Sector 83,30.658143,76.724407
166,COD,mg/l,July,164,CPCB 2018,2018,Sector 83,30.658143,76.724407
167,BOD,mg/l,July,77,CPCB 2018,2018,Sector 83,30.658143,76.724407
168,NO3-N,mg/l,July,2.4,CPCB 2018,2018,Sector 83,30.658143,76.724407
169,NH3-N,mg/l,July,22,CPCB 2018,2018,Sector 83,30.658143,76.724407
170,Phosphate,mg/l,July,2.01,CPCB 2018,2018,Sector 83,30.658143,76.724407
171,TSS,mg/l,July,80,CPCB 2018,2018,Sector 83,30.658143,76.724407
172,TDS,mg/l,July,342,CPCB 2018,2018,Sector 83,30.658143,76.724407
173,FS,mg/l,July,274,CPCB 2018,2018,Sector 83,30.658143,76.724407
174,Turbidity,NTU,July,113,CPCB 2018,2018,Sector 83,30.658143,76.724407
175,TH as CaCO3,mg/l,July,214,CPCB 2018,2018,Sector 83,30.658143,76.724407
176,Ca as CaCO3,mg/l,July,122,CPCB 2018,2018,Sector 83,30.658143,76.724407
177,Mg as CaCO3,mg/l,July,92,CPCB 2018,2018,Sector 83,30.658143,76.724407
178,Sulphate,mg/l,July,62,CPCB 2018,2018,Sector 83,30.658143,76.724407
179,Chloride,mg/l,July,45,CPCB 2018,2018,Sector 83,30.658143,76.724407
180,Total alkalinity as CaCO3,mg/l,July,246,CPCB 2018,2018,Sector 83,30.658143,76.724407
