SrNo,Parameter,Unit,Month,Year,Value,Data Source,Latitude,Longitude,Location
100,P-Alkalinity,mg/l,April,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
101,Fluoride,mg/l,April,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
102,Colour,Hazen,April,2018,20.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
103,Boron(B),mg/l,April,2018,0.14,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
104,TKN,mg/l,April,2018,4.1,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
105,Potassium,mg/l,April,2018,8.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
106,Sodium,mg/l,April,2018,30.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
107,Total Coliform,MPN/100ml,April,2018,6.1E+5,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
108,Faecal Coliform,MPN/100ml,April,2018,4.1E+5,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
109,pH,-,May,2018,7.1,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
110,Conductivity,µs/cm,May,2018,643.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
111,DO,mg/l,May,2018,0.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
112,COD,mg/l,May,2018,168.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
113,BOD,mg/l,May,2018,73.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
114,NO3-N,mg/l,May,2018,2.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
115,NH3-N,mg/l,May,2018,24.0,CPCB 2018,30.721836,76.731728,NCC02 - Exit of Chandigarh Sector 53
